GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
48041,050,48,041,17780,999,,,Brazos County,194851,77700,152415,59023,194851,152415
48309,050,48,309,47380,999,,,McLennan County,234906,95124,213517,84795,234906,213517
48001,050,48,001,37300,999,,,Anderson County,58458,20116,55109,18436,58458,55109
48141,050,48,141,21340,999,,,El Paso County,800647,270307,679622,224447,800647,679622
48187,050,48,187,41700,999,,,Guadalupe County,131533,50015,89023,33585,131533,89023
48005,050,48,005,31260,999,,,Angelina County,86771,35589,80130,32435,86771,80130
48047,050,48,047,99999,999,,,Brooks County,7223,3239,7976,3203,7223,7976
48067,050,48,067,99999,999,,,Cass County,30464,14379,30438,13890,30464,30438
48079,050,48,079,99999,999,,,Cochran County,3127,1360,3730,1587,3127,3730
48089,050,48,089,99999,999,,,Colorado County,20874,10527,20390,9431,20874,20390
48113,050,48,113,19100,206,,,Dallas County,2368139,943257,2218899,854119,2368139,2218899
48129,050,48,129,99999,999,,,Donley County,3677,2142,3828,2378,3677,3828
48227,050,48,227,13700,999,,,Howard County,35012,13124,33627,13589,35012,33627
48237,050,48,237,99999,999,,,Jack County,9044,4095,8763,3668,9044,8763
48257,050,48,257,19100,206,,,Kaufman County,103350,38322,71313,26133,103350,71313
48325,050,48,325,41700,999,,,Medina County,46006,17991,39304,14826,46006,39304
